firstname,lastname,date_of_birth,primary_poc,phone_number,email,student_address,client_name,client_type,client_address,vaccine_manufacturer,vaccine_manufacturer_address,vaccine_manufacturer_phone_number,vaccine_manufacturer_email,vaccine_type,vaccine_provider_name,vaccine_provider_address,vaccine_provider_phone_number,notes,health_insurance_provider,health_insurance_group,health_insurance_phone_number,dose_1,dose_2
Brianna,Keily,1934-09-02,Letizia,393069140,Brianna.Keily@gmail.com,5 OakLeaf Boulvd. 101123,Lehman,college,"250 Bedford Park Blvd W, Bronx, NY 10468",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Walgreens Pharmacy,"351 N. Philmont Ave. Ithaca, NY 14850",1(212)-756-9898,"allergic to first dose,severe side effects,previous exposure,new strain detected",Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-01-07,2021-05-11
Aigneis,Colbert,1992-11-12,Tori,249067400,Aigneis.Colbert@gmail.com,"154 SheepsheadBay Brooklyn, 11223",Baruch,library,"55 Lexington Ave, New York, NY 10010",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,CVS Pharmacy,"5 E. Grandrose Rd. Duarte, CA 91010",1(718)-965-7845,"allergic to first dose,severe side effects,previous exposure,new strain detected",CVS,CVSgroup,1(800)-567-3875,2021-02-17,NULL
Violet,Henebry,1913-04-30,Carmela,807578764,Violet.Henebry@gmail.com,123 Lexington Ave.,Lehman,library,"250 Bedford Park Blvd W, Bronx, NY 10468",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",CVS,CVSgroup,1(800)-567-3875,2021-01-01,NULL
Harmonia,Zetta,2005-06-16,Shel,590071904,Harmonia.Zetta@gmail.com,123 Lexington Ave.,Hunter,library,"695 Park Ave, New York, NY 10065",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,"allergic to first dose,severe side effects,previous exposure",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-01-12,2021-05-11
Viki,Chaing,2002-03-27,Anica,373529624,Viki.Chaing@gmail.com,123 Lexington Ave.,Lehman,college,"250 Bedford Park Blvd W, Bronx, NY 10468",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,"allergic to first dose,severe side effects,previous exposure,new strain detected",,group,,2020-12-28,2021-05-11
Nannie,Jehu,1927-04-21,Nerta,657072258,Nannie.Jehu@gmail.com,5 OakLeaf Boulvd. 101123,Baruch,college,"55 Lexington Ave, New York, NY 10010",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Duane Reade,"58 W. Market Dr. Copperas Cove, TX 76522",1(817)-877-9087,"allergic to first dose,severe side effects,previous exposure",Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-02-27,NULL
Dulcinea,Kylander,1998-01-24,Charlena,678837300,Dulcinea.Kylander@gmail.com,5 OakLeaf Boulvd. 101123,Hunter,college,"695 Park Ave, New York, NY 10065",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure,new strain detected",Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-02-22,2021-05-11
Chickie,Pernick,1975-06-08,Vita,419042186,Chickie.Pernick@gmail.com,76 AstoriaBlvd,Lehman,library,"250 Bedford Park Blvd W, Bronx, NY 10468",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Javits Center,"7920 Hudson Street Powder Springs, GA 30127",1(888)908-4576,"allergic to first dose,severe side effects,previous exposure",Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-04-05,2021-05-11
Nickie,Cherianne,1961-04-23,Nanete,858182704,Nickie.Cherianne@gmail.com," 4 Old Shore Rd. San Franciso",Hunter,college,"695 Park Ave, New York, NY 10065",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Duane Reade,"58 W. Market Dr. Copperas Cove, TX 76522",1(817)-877-9087,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-01-04,2021-05-11
Viki,Carleen,1923-03-14,Henriette,684966740,Viki.Carleen@gmail.com,123 Lexington Ave.,"Brooklyn ",cafe,,Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,allergic to first dose,Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-01-19,2021-05-11
Marleah,Penelopa,1990-04-21,Margalo,574097269,Marleah.Penelopa@gmail.com,123 Lexington Ave.,"Brooklyn ",library,,Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Javits Center,"7920 Hudson Street Powder Springs, GA 30127",1(888)908-4576,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",CVS,CVSgroup,1(800)-567-3875,2020-12-27,2021-05-11
Jobi,Monaco,1919-05-02,Fanny,850714795,Jobi.Monaco@gmail.com,"154 SheepsheadBay Brooklyn, 11223",Baruch,cafe,"55 Lexington Ave, New York, NY 10010",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,CVS Pharmacy,"5 E. Grandrose Rd. Duarte, CA 91010",1(718)-965-7845,"allergic to first dose,severe side effects",Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-02-05,NULL
Nerta,Uund,1958-06-12,Andree,544538229,Nerta.Uund@gmail.com,"154 SheepsheadBay Brooklyn, 11223",Baruch,college,"55 Lexington Ave, New York, NY 10010",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Javits Center,"7920 Hudson Street Powder Springs, GA 30127",1(888)908-4576,allergic to first dose,,group,,2021-03-14,NULL
Madalyn,Seagraves,1998-08-27,Gilda,797533537,Madalyn.Seagraves@gmail.com,"154 SheepsheadBay Brooklyn, 11223",Hunter,cafe,"695 Park Ave, New York, NY 10065",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-02-04,2021-05-11
Madeleine,Thomasina,1989-04-23,Kassey,151339522,Madeleine.Thomasina@gmail.com," 4 Old Shore Rd. San Franciso",Baruch,institution,"55 Lexington Ave, New York, NY 10010",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,"allergic to first dose,severe side effects",Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-04-09,2021-05-11
Beverley,Vins,1900-08-03,Sallie,511444540,Beverley.Vins@gmail.com," 4 Old Shore Rd. San Franciso",Hunter,library,"695 Park Ave, New York, NY 10065",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Javits Center,"7920 Hudson Street Powder Springs, GA 30127",1(888)908-4576,"allergic to first dose,severe side effects",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-03-19,NULL
Marjie,Ricarda,1930-06-23,Vita,54987134,Marjie.Ricarda@gmail.com," 4 Old Shore Rd. San Franciso","Brooklyn ",college,,Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,"allergic to first dose,severe side effects,previous exposure,new strain detected",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-01-04,2021-05-11
Shell,Longfellow,1941-10-22,Sarette,273254609,Shell.Longfellow@gmail.com," 4 Old Shore Rd. San Franciso","Brooklyn ",institution,,Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure",,group,,2021-01-25,NULL
Willetta,Kristi,1956-05-17,Damaris,862591218,Willetta.Kristi@gmail.com,5 OakLeaf Boulvd. 101123,Hunter,cafe,"695 Park Ave, New York, NY 10065",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,CVS Pharmacy,"5 E. Grandrose Rd. Duarte, CA 91010",1(718)-965-7845,"allergic to first dose,severe side effects,previous exposure,new strain detected",,group,,2021-02-26,NULL
Cathie,Vivle,1967-12-06,Gianina,476315005,Cathie.Vivle@gmail.com," 4 Old Shore Rd. San Franciso","Brooklyn ",cafe,,Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure",United Healthcare,United Healthcaregroup,1(800)-675-8943,2021-03-10,2021-05-11
Reeba,Lowry,2018-08-29,Nannie,761087576,Reeba.Lowry@gmail.com," 4 Old Shore Rd. San Franciso",Hunter,library,"695 Park Ave, New York, NY 10065",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,CVS Pharmacy,"5 E. Grandrose Rd. Duarte, CA 91010",1(718)-965-7845,"allergic to first dose,severe side effects",CVS,CVSgroup,1(800)-567-3875,2021-03-18,2021-05-11
Kenna,Kenney,2004-01-20,Marinna,883857473,Kenna.Kenney@gmail.com,5 OakLeaf Boulvd. 101123,Hunter,library,"695 Park Ave, New York, NY 10065",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,CVS Pharmacy,"5 E. Grandrose Rd. Duarte, CA 91010",1(718)-965-7845,"allergic to first dose,severe side effects,previous exposure",Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-03-05,2021-05-11
Carree,Pond,1935-12-18,Tracey,608066652,Carree.Pond@gmail.com,"154 SheepsheadBay Brooklyn, 11223",Baruch,cafe,"55 Lexington Ave, New York, NY 10010",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,Walgreens Pharmacy,"351 N. Philmont Ave. Ithaca, NY 14850",1(212)-756-9898,"allergic to first dose,severe side effects,previous exposure",United Healthcare,United Healthcaregroup,1(800)-675-8943,2021-01-22,2021-05-11
Kial,Michella,1943-05-10,Edee,465865005,Kial.Michella@gmail.com,123 Lexington Ave.,Baruch,library,"55 Lexington Ave, New York, NY 10010",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2020-12-27,2021-05-11
Orsola,Quent,1981-07-04,Desirae,176066008,Orsola.Quent@gmail.com,5 OakLeaf Boulvd. 101123,Baruch,institution,"55 Lexington Ave, New York, NY 10010",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure,new strain detected",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2020-12-29,NULL
Wileen,Chrystel,1986-05-01,Nataline,20492229,Wileen.Chrystel@gmail.com,123 Lexington Ave.,Hunter,library,"695 Park Ave, New York, NY 10065",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Javits Center,"7920 Hudson Street Powder Springs, GA 30127",1(888)908-4576,"allergic to first dose,severe side effects",United Healthcare,United Healthcaregroup,1(800)-675-8943,2021-01-23,2021-05-11
Ira,Marisa,1909-05-20,Brena,614993580,Ira.Marisa@gmail.com," 4 Old Shore Rd. San Franciso","Brooklyn ",cafe,,Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Duane Reade,"58 W. Market Dr. Copperas Cove, TX 76522",1(817)-877-9087,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",CVS,CVSgroup,1(800)-567-3875,2021-04-08,2021-05-11
Starla,O'Carroll,1997-10-15,Rozele,775934826,Starla.O'Carroll@gmail.com,"154 SheepsheadBay Brooklyn, 11223","Brooklyn ",cafe,,Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",United Healthcare,United Healthcaregroup,1(800)-675-8943,2021-03-22,2021-05-11
Angelique,Christine,2015-08-17,Fernande,651774422,Angelique.Christine@gmail.com,5 OakLeaf Boulvd. 101123,Baruch,library,"55 Lexington Ave, New York, NY 10010",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,Javits Center,"7920 Hudson Street Powder Springs, GA 30127",1(888)908-4576,"allergic to first dose,severe side effects,previous exposure",Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-01-15,2021-05-11
Pearline,Chapland,1920-06-13,Priscilla,456504976,Pearline.Chapland@gmail.com," 4 Old Shore Rd. San Franciso",Lehman,institution,"250 Bedford Park Blvd W, Bronx, NY 10468",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Walgreens Pharmacy,"351 N. Philmont Ave. Ithaca, NY 14850",1(212)-756-9898,"allergic to first dose,severe side effects,previous exposure",Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-04-08,NULL
Wilma,Sheng,1999-03-25,Gabriellia,801978959,Wilma.Sheng@gmail.com," 4 Old Shore Rd. San Franciso",Lehman,cafe,"250 Bedford Park Blvd W, Bronx, NY 10468",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Duane Reade,"58 W. Market Dr. Copperas Cove, TX 76522",1(817)-877-9087,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",United Healthcare,United Healthcaregroup,1(800)-675-8943,2021-04-06,NULL
Harmonia,Swanhildas,1952-07-03,Yetty,503996685,Harmonia.Swanhildas@gmail.com,123 Lexington Ave.,"Brooklyn ",library,,Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Walgreens Pharmacy,"351 N. Philmont Ave. Ithaca, NY 14850",1(212)-756-9898,"allergic to first dose,severe side effects",Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-02-07,2021-05-11
Jacenta,Modie,1978-03-20,Wileen,598598334,Jacenta.Modie@gmail.com," 4 Old Shore Rd. San Franciso","Brooklyn ",library,,Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-03-14,2021-05-11
Aigneis,Diogenes,1933-03-25,Bertine,747307855,Aigneis.Diogenes@gmail.com," 4 Old Shore Rd. San Franciso",Hunter,cafe,"695 Park Ave, New York, NY 10065",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects",United Healthcare,United Healthcaregroup,1(800)-675-8943,2020-12-30,2021-05-11
Liana,Dosia,1966-08-05,Merci,721816334,Liana.Dosia@gmail.com,"154 SheepsheadBay Brooklyn, 11223",Baruch,cafe,"55 Lexington Ave, New York, NY 10010",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,CVS Pharmacy,"5 E. Grandrose Rd. Duarte, CA 91010",1(718)-965-7845,"allergic to first dose,severe side effects,previous exposure,new strain detected",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-02-02,NULL
Margarette,Killigrew,1967-10-29,Lorne,359877450,Margarette.Killigrew@gmail.com,"154 SheepsheadBay Brooklyn, 11223",Hunter,library,"695 Park Ave, New York, NY 10065",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,"allergic to first dose,severe side effects,previous exposure",CVS,CVSgroup,1(800)-567-3875,2021-04-01,2021-05-11
Oralee,Thilda,1936-07-30,Almeta,624035129,Oralee.Thilda@gmail.com,"154 SheepsheadBay Brooklyn, 11223",Baruch,institution,"55 Lexington Ave, New York, NY 10010",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,allergic to first dose,Kaiser Foundation,Kaiser Foundationgroup,1(915)-675-9999,2021-01-19,2021-05-11
Madalyn,Ricarda,1986-01-07,Deane,704384294,Madalyn.Ricarda@gmail.com," 4 Old Shore Rd. San Franciso",Baruch,library,"55 Lexington Ave, New York, NY 10010",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure,new strain detected",,group,,2021-03-29,NULL
Stephanie,Gualtiero,1975-03-05,Marinna,330633222,Stephanie.Gualtiero@gmail.com,123 Lexington Ave.,Hunter,cafe,"695 Park Ave, New York, NY 10065",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",Cigna Health,Cigna Healthgroup,1(546)-988-6778,2021-03-11,NULL
Isa,Goth,1963-12-17,Kimmy,117706077,Isa.Goth@gmail.com,123 Lexington Ave.,Lehman,institution,"250 Bedford Park Blvd W, Bronx, NY 10468",Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,Javits Center,"7920 Hudson Street Powder Springs, GA 30127",1(888)908-4576,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-02-06,NULL
Calla,Newell,1944-05-22,Meghann,843639190,Calla.Newell@gmail.com," 4 Old Shore Rd. San Franciso",Lehman,college,"250 Bedford Park Blvd W, Bronx, NY 10468",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Duane Reade,"58 W. Market Dr. Copperas Cove, TX 76522",1(817)-877-9087,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-02-22,2021-05-11
Debee,Carri,1962-04-18,Drucie,204741890,Debee.Carri@gmail.com,5 OakLeaf Boulvd. 101123,Baruch,cafe,"55 Lexington Ave, New York, NY 10010",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Palmetto Gardens Site,"316 Center Street Jacksonville, NC 28540",1(316)-908-9099,"allergic to first dose,severe side effects,previous exposure",,group,,2021-03-13,2021-05-11
Aili,Wittie,1972-12-08,Maurene,252282713,Aili.Wittie@gmail.com,5 OakLeaf Boulvd. 101123,Lehman,cafe,"250 Bedford Park Blvd W, Bronx, NY 10468",Pfizer,"235 East 42nd Street NY, NY 10017",1(800)-879-3477,Pfizer@gmail.com,mRNA,Rite Aid,"934 Brookside St. Fort Myers, FL 33905",1(917)-897-9087,"allergic to first dose,severe side effects",Anthem Inc.,Anthem Inc.group,1(453)987-0900,2021-03-13,2021-05-11
Loree,Elephus,1914-04-11,Mildrid,610397342,Loree.Elephus@gmail.com,76 AstoriaBlvd,"Brooklyn ",cafe,,Johnson & Johnson,"601 W 26th St #1601, New York, NY 10001",1(646)-312-1000,Johnson&Johnson@gmail.com,Viral Vector,CVS Pharmacy,"5 E. Grandrose Rd. Duarte, CA 91010",1(718)-965-7845,"allergic to first dose,severe side effects,previous exposure,new strain detected,has antibodies",CVS,CVSgroup,1(800)-567-3875,2021-04-05,NULL
Lynnea,Belldas,1945-07-31,Teriann,393363404,Lynnea.Belldas@gmail.com," 4 Old Shore Rd. San Franciso",Lehman,institution,"250 Bedford Park Blvd W, Bronx, NY 10468",Moderna,"200 Technology Square, Cambridge, MA 02139",1(617)-714-6500,Moderna@gmail.com,mRNA,Javits Center,"7920 Hudson Street Powder Springs, GA 30127",1(888)908-4576,"allergic to first dose,severe side effects,previous exposure,new strain detected",United Healthcare,United Healthcaregroup,1(800)-675-8943,2020-12-29,2021-05-11
